Lines Matched,Pct1,Pct2,Moss Link,Project1,Student1,Project2,Student2
20,0,2,http://moss.stanford.edu/results/818084778/match203.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P12014","Q_Stu(c87f16d0e9cda269a5c19e68612109b1)"
20,2,0,http://moss.stanford.edu/results/818084778/match208.html,"C_P12015","Sunam_Jerry(a078102843453dd4fe10ec0873d6e998)","C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)"
19,1,4,http://moss.stanford.edu/results/818084778/match44.html,"C_P22015","Aab_Michael(7b90e57b05602edbeeea35b8ba37a0b1)","O_P22014","I_Stu(c87f16d0e9cda269a5c19e68612109b1)"
19,0,1,http://moss.stanford.edu/results/818084778/match74.html,"C_P22015","Butler_Mary(0c44d3ae94ffd980f530907abdfdb901)","O_P12014","V_Stu(e4eccfa8a9dceb2e2902c8b052ce85b4)"
19,0,2,http://moss.stanford.edu/results/818084778/match80.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","J_Stu(fdff9c54a88cb0c4288d5d2618f64fd8)"
19,0,0,http://moss.stanford.edu/results/818084778/match167.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
18,0,1,http://moss.stanford.edu/results/818084778/match154.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","O_P22014","H_Stu(41e869b8be1ff2f45a0f7679f0612c02)"
17,0,1,http://moss.stanford.edu/results/818084778/match79.html,"C_P22015","Gonzales_Pedro(a876148095ff319cdf1d6d971f2c0ca5)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
17,0,0,http://moss.stanford.edu/results/818084778/match81.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","C_P22015","Newman_Joe(54fa6a0de05f3e459300f9e94f7228cf)"
17,0,1,http://moss.stanford.edu/results/818084778/match82.html,"C_P12015","Black_Lisa(82d08df03494defb6b12f52319752fdc)","O_P12014","T_Stu(21f2212719b3c956cfeec91a639a019f)"
17,0,0,http://moss.stanford.edu/results/818084778/match141.html,"C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)","C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)"
17,2,0,http://moss.stanford.edu/results/818084778/match144.html,"C_P12015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)","C_P12015","Lu_Ben(6e43dde6ee96247f8d811d9acb6687e3)"
17,0,0,http://moss.stanford.edu/results/818084778/match218.html,"C_P12015","Jones_Tommy(0db34975171811623b0aa2e1bea58039)","C_P22015","Boop_Betty(168e38a05dfd8bb5e4d1aa3084f98cec)"
16,0,0,http://moss.stanford.edu/results/818084778/match200.html,"C_P22015","Bbc_Has(5041308ef3585f4cd6051da1dccd4331)","O_P22014","K_Stu(b72a6ef515dfe775b81c412263fcc24d)"
